,area,age,num_rooms,type,num_parkings,distance_to_center,price
0,120,5,2,flat,1,2.5,350
1,250,10,4,mansion,3,5.0,850
2,180,2,3,townhouse,2,1.0,550
3,90,15,1,flat,0,8.0,200
4,300,3,5,villa,4,10.0,1200
5,150,8,2,flat,1,3.0,380
6,200,5,3,townhouse,2,2.0,600
7,110,12,2,flat,1,7.0,280
8,280,4,4,mansion,3,4.0,900
9,190,6,3,bungalow,2,1.5,580
10,130,9,2,flat,1,6.0,320
11,220,7,3,townhouse,2,3.0,650
12,160,3,3,villa,3,9.0,750
13,100,20,1,flat,0,10.0,180
14,320,2,6,villa,5,12.0,1500
15,140,7,2,flat,1,4.0,360
16,210,4,3,townhouse,2,2.5,620
17,170,11,2,flat,1,5.5,300
18,260,6,4,mansion,3,6.0,880
19,195,5,3,bungalow,2,1.8,610
20,125,8,2,flat,1,3.5,340
21,230,9,3,townhouse,2,4.0,680
22,105,18,1,flat,0,9.0,220
23,290,3,5,villa,4,11.0,1300
24,155,6,2,flat,1,2.8,400
25,205,4,3,townhouse,2,2.2,630
26,165,10,2,flat,1,5.0,330
27,270,5,4,mansion,3,5.5,920
28,185,7,3,bungalow,2,1.6,590
29,135,12,2,flat,1,6.5,290
30,240,8,3,townhouse,2,3.8,700
31,115,14,1,flat,0,8.5,250
32,310,2,6,villa,5,13.0,1600
33,145,9,2,flat,1,4.5,370
34,215,3,3,townhouse,2,2.7,640
35,175,11,2,flat,1,5.2,310
36,255,6,4,mansion,3,6.5,950
37,190,4,3,bungalow,2,1.9,600
38,128,7,2,flat,1,3.3,350
39,225,5,3,townhouse,2,3.1,660
40,108,19,1,flat,0,9.5,210
41,285,3,5,villa,4,10.5,1400
42,152,8,2,flat,1,4.2,390
43,202,4,3,townhouse,2,2.4,625
44,168,10,2,flat,1,5.8,320
45,265,6,4,mansion,3,5.7,930
46,182,5,3,bungalow,2,1.7,595
47,132,13,2,flat,1,7.2,270
48,235,7,3,townhouse,2,3.9,710
49,112,16,1,flat,0,8.8,230
50,305,2,6,villa,5,12.5,1700
